# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.125        0.000      888.773     2431.223
       0.274       20.892      981.297     2430.926
       0.460        8.308     1082.984     2670.691
       0.632       11.142     1156.648     2707.875
       0.841       10.700     1126.312     2600.957
       1.056        3.567      668.082     1748.402
       1.256        8.350      668.082     1748.402
       1.430        7.567      671.375     1765.051
       1.608       17.958      697.078     1771.719
       1.795       31.042      700.656     1773.074
       1.977       22.533      680.293     1762.727
