# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.004        0.000      158.441      874.094
       0.125       35.417      168.598      880.801
       0.247       38.225      187.066      892.652
       0.371       32.292      200.211      898.566
       0.493       31.250      217.074      907.246
       0.612       39.583      246.578     1041.031
       0.730       33.450      246.344     1040.496
       0.851       27.083      251.121     1044.199
       0.971       18.750      254.027     1047.012
       1.085       34.325      273.285      915.176
       1.209       32.292      275.941      917.289
       1.328       26.042      274.832      916.125
       1.452       22.917      277.840      919.641
       1.580       34.375      280.105      919.312
       1.718       33.483      276.637      915.586
       1.847       32.292      286.582      925.465
       1.974       26.042      283.152      922.641
       2.103       24.933      287.043      926.891
       2.236       30.208      291.051      930.750
       2.365       23.958      285.617      925.004
