# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.117        0.000      881.816     2462.039
       0.250       35.058      916.102     2476.883
       0.409       29.525      988.910     2482.410
       0.582        8.350     1079.145     2508.363
       0.742       10.600     1100.387     2552.684
       0.916        0.000      746.719     1812.930
       1.074        9.083      746.832     1813.020
       1.234        8.308      746.840     1813.020
       1.377       15.142      772.605     1837.391
       1.554       32.742      794.531     1850.449
       1.726       12.467      757.121     1832.734
