# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.115        0.000      456.449      774.609
       0.236        3.125      456.625      774.684
       0.361       26.783      473.133      789.746
       0.503       26.783      486.547      802.367
       0.630       32.292      495.777      812.254
       0.771       19.792      485.266      799.195
       0.895        0.000      485.266      799.195
       1.035        0.000      485.266      799.195
       1.159        0.000      485.770      799.195
