# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.124        0.925      393.973      683.527
       0.256        4.650      394.328      683.781
       0.399       10.017      397.039      686.594
       0.556       29.033      411.625      699.984
       0.695       23.258      414.062      702.371
       0.837       25.858      422.219      707.828
       0.980       11.083      427.402      712.156
       1.121        1.858      408.684      684.445
       1.263        0.000      408.684      684.445
       1.390        0.000      339.910      545.980
