# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000      160.977      877.391
       0.132       36.458      182.285      891.230
       0.257       35.417      197.227      898.098
       0.388       35.417      220.285      912.523
       0.512       35.417      246.852      913.637
       0.635       38.542      243.922      909.895
       0.761       22.917      247.191      912.676
       0.872       19.117      249.477      915.145
       1.000       35.417      268.215      909.855
