# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.009        0.000      193.547      896.668
       0.136       33.333      211.922      906.738
       0.260       30.208      227.441      912.941
       0.394       36.017      246.090      913.125
       0.521       29.167      249.289      915.188
       0.640       20.308      252.160      918.227
       0.757       38.542      271.863      908.422
       0.876       33.333      273.621      909.758
       0.996       27.225      274.379      910.453
       1.122       29.758      275.301      911.402
       1.245       31.958      281.883      914.566
       1.371       33.333      286.367      919.586
       1.486       32.292      287.223      920.355
       1.600       15.533      285.195      918.250
       1.716       14.583      287.289      920.047
       1.839       30.775      291.672      924.320
       1.956       30.208      285.520      920.359
       2.072       11.942      287.285      922.492
