# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.114        0.000      396.445      675.840
       0.248        7.392      396.766      676.164
       0.393       15.025      408.637      688.125
       0.550       24.225      418.496      697.379
       0.712       29.550      421.004      698.711
       0.849        5.208      421.574      698.973
       0.976        0.000      421.574      698.973
       1.115        0.000      421.574      698.973
       1.256        0.000      353.039      560.582
